pagePath,region,percentScrolled,eventName,newVsReturning,city,dateHour,crashFreeUsersRate,bounceRate,engagementRate,userEngagementDuration,scrolledUsers,totalUsers,sessions
/,(not set),,first_visit,new,(not set),2023090405,1,1,0,0,0,2,2
/,(not set),,first_visit,new,(not set),2023090412,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023090508,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023090720,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023090817,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023091512,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023092309,1,1,0,0,0,5,5
/,(not set),,first_visit,new,(not set),2023092807,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023100317,1,1,0,0,0,2,2
/,(not set),,first_visit,new,(not set),2023101508,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023102207,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023102911,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023110511,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023110523,1,0,1,0,0,1,1
/,(not set),,first_visit,new,(not set),2023111219,1,1,0,0,0,1,1
/,(not set),,first_visit,new,(not set),2023112221,1,0,1,0,0,1,1
/,(not set),,page_view,new,(not set),2023090405,1,1,0,0,0,2,2
/,Texas,,page_view,new,San Antonio,2023090313,1,1,0,0,0,1,1
/,(not set),,page_view,new,(not set),2023090508,1,1,0,0,0,1,1
/,(not set),,page_view,new,(not set),2023090720,1,1,0,0,0,1,1
/,Texas,90,scroll,new,San Antonio,2023090313,1,1,0,295,1,1,1
/,(not set),,page_view,new,(not set),2023091512,1,1,0,0,0,1,1
/,County Dublin,,page_view,new,Dublin,2023090319,1,1,0,0,0,2,2
/,(not set),,page_view,new,(not set),2023092807,1,1,0,0,0,1,1
/,Iowa,,page_view,new,Altoona,2023090319,1,1,0,0,0,1,1
/,(not set),,page_view,new,(not set),2023101508,1,1,0,0,0,1,1
/,North Carolina,90,scroll,new,Forest City,2023090319,1,1,0,0,1,1,1
/,(not set),,page_view,new,(not set),2023102911,1,1,0,0,0,1,1
/,(not set),,page_view,new,(not set),2023110511,1,1,0,0,0,1,1
/,Riyadh Province,,page_view,new,Riyadh,2023090319,1,1,0,0,0,1,1
/,(not set),,page_view,new,(not set),2023111219,1,1,0,0,0,1,1
/,Texas,,page_view,returning,San Antonio,2023090319,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023090405,1,1,0,0,0,2,2
/,(not set),,session_start,new,(not set),2023090412,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023090508,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023090720,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023090817,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023091512,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023092309,1,1,0,0,0,5,5
/,(not set),,session_start,new,(not set),2023092807,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023100317,1,1,0,0,0,2,2
/,(not set),,session_start,new,(not set),2023101508,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023102207,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023102911,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023110511,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023110523,1,0,1,0,0,1,1
/,(not set),,session_start,new,(not set),2023111219,1,1,0,0,0,1,1
/,(not set),,session_start,new,(not set),2023112221,1,0,1,0,0,1,1
/,(not set),,user_engagement,new,(not set),2023110523,1,0,1,22,0,1,1
/,(not set),,user_engagement,new,(not set),2023112221,1,0,1,3,0,1,1
/,(not set),90,scroll,new,(not set),2023090405,1,1,0,0,1,1,1
/,Texas,,user_engagement,returning,San Antonio,2023090320,1,1,0,20,0,1,1
/,(not set),90,scroll,new,(not set),2023112221,1,0,1,0,1,1,1
/,Alabama,,first_visit,new,Axis,2023102120,1,1,0,0,0,1,1
/,Alabama,,first_visit,new,Birmingham,2023092120,1,1,0,0,0,1,1
/,Alabama,,page_view,new,Axis,2023102120,1,1,0,0,0,1,1
/,Alabama,,page_view,new,Birmingham,2023092120,1,1,0,0,0,1,1
/,Texas,90,scroll,returning,San Antonio,2023090321,1,1,0,16,1,1,1
/,Alabama,,session_start,new,Axis,2023102120,1,1,0,0,0,1,1
/,Alabama,,session_start,new,Birmingham,2023092120,1,1,0,0,0,1,1
/,Alabama,,user_engagement,new,Brewton,2023091108,1,1,0,20,0,1,1
/,Texas,,page_view,new,San Antonio,2023090410,1,1,0,0,0,1,1
/,Arkansas,,first_visit,new,Little Rock,2023092006,1,0,1,0,0,1,1
/,Arkansas,,page_view,new,Little Rock,2023092006,1,0,1,0,0,1,1
/,Arkansas,,session_start,new,Little Rock,2023092006,1,0,1,0,0,1,1
/,(not set),,page_view,new,(not set),2023090412,1,1,0,0,0,1,1
/,California,,first_visit,new,(not set),2023090412,1,1,0,0,0,1,1
/,California,,first_visit,new,(not set),2023091512,1,1,0,0,0,1,1
/,California,,first_visit,new,Anaheim,2023092315,1,0,1,0,0,1,1
/,California,,first_visit,new,Anaheim,2023092402,1,1,0,0,0,1,1
/,California,,first_visit,new,Carlsbad,2023092022,1,0,1,0,0,1,1
/,California,,first_visit,new,Compton,2023112219,1,0,1,0,0,1,1
/,California,,first_visit,new,Fullerton,2023091721,1,1,0,0,0,1,1
